2,0,6,4,3,0
3,0,11,11,11,0
4,0,13,2,10,0
6,0,409,21,5,0
7,0,11,6,16,0
8,0,3,6,14,0
9,0,9,6,8,0
10,0,11,4,9,0
12,0,10,11,12,0
13,0,306,19,14,0
14,0,306,18,15,0
15,0,13,10,12,0
16,0,2064,99,20,0
17,0,11,11,13,0
19,0,14,12,12,0
20,0,12,9,11,0
21,0,9,4,10,0
22,0,7,5,13,0
23,0,11,5,13,0
25,0,2029,100,30,0
26,0,18,12,19,0
27,0,12,9,10,0
28,0,13,1807,97,0
29,0,10,7,1318,0
31,0,12,12,1154,0
32,0,6,0,12,0
33,0,10,10,14,0
34,0,4,8,8,0
35,0,12,9,10,0
37,0,15,3,11,0
38,0,14,10,10,0
39,0,13,3,10,0
40,0,14,6,4,0
41,0,6,7,9,0
43,0,11,9,7,0
44,0,11,7,13,0
45,0,9,9,9,0
46,0,11,11,16,0
47,0,9,6,14,0
49,0,9,8,15,0
50,0,9,10,16,0
51,0,16,9,13,0
52,0,19,10,16,0
53,0,14,9,8,0
55,0,8,4,8,0
56,0,13,10,13,0
57,0,7,5,12,0
58,0,9,4,10,0
59,0,10,11,12,0
61,0,11,4,13,0
62,0,9,11,14,0
63,0,6,8,11,0
64,0,8,8,12,0
65,0,11,8,15,0
67,0,12,13,14,0
68,0,10,11,11,0
69,0,12,8,11,0
70,0,16,9,8,0
71,0,11,7,9,0
73,0,10,10,18,0
74,0,6,15,12,0
75,0,15,3,2,0
76,0,10,10,16,0
77,0,13,11,15,0
78,0,12,9,13,0
80,0,11,6,14,0
81,0,14,11,10,0
82,0,10,9,8,0
83,0,4,6,13,0
84,0,11,10,9,0
86,0,16,7,12,0
87,0,15,4,11,0
88,0,9,5,4,0
89,0,12,11,13,0
90,0,9,4,10,0
92,0,10,5,15,0
93,0,10,4,8,0
94,0,12,11,9,0
95,117,137,138,139,128
96,0,8,5,7,0
98,0,13,7,8,0
99,0,3,1,6,0
100,0,9,8,14,0
101,0,3,0,0,0
102,0,8,7,11,0
104,0,8,7,11,0
105,0,13,7,8,0
106,0,8,8,11,0
107,0,7,3,15,0
108,0,11,5,8,0
110,0,6,6,14,0
111,0,16,10,17,0
112,0,8,3,12,0
113,0,12,13,11,0
114,0,11,7,9,0
116,0,8,13,11,0
117,0,8,10,12,0
118,0,9,5,13,0
119,0,17,9,4,0
120,0,9,5,8,0
121,0,10,11,12,0
123,0,9,7,12,0
124,0,12,7,11,0
125,0,11,6,11,0
126,0,6,6,8,0
127,0,15,10,17,0
129,0,7,4,12,0
130,0,11,5,12,0
131,0,10,11,9,0
132,0,11,6,8,0
133,0,11,4,11,0
135,0,13,14,12,0
