Timestamp,Finger1,Finger2,Finger3,Finger4,Finger5
2,0,10,5,8,0
3,0,3,5,10,0
4,0,5,2,10,0
5,0,8,5,6,0
7,0,9,2,11,0
8,0,10,7,4,0
9,0,7,2,5,0
10,0,9,0,1,0
11,0,10,6,8,0
13,0,1616,68,14,0
14,0,276,9,7,0
15,0,2,5,5,0
16,0,2,0,10,0
17,0,6,0,1104,0
19,0,13,8,1810,0
20,0,7,5,3,0
21,0,2,5,0,0
22,0,11,8,10,0
23,0,5,262,14,0
25,0,9,862,41,0
26,0,7,923,40,0
27,0,5,4,2,0
28,0,3,2,4,0
29,0,8,7,4,0
31,0,8,3,5,0
32,0,12,9,9,0
33,0,6,10,17,0
34,0,9,4,8,0
35,0,4,8,12,0
37,0,10,6,5,0
