1,0,0.08,0.06,31.88,0
3,0,0.08,0.07,15.4,0
4,0,0.1,0.1,0,0
5,0,0.08,0.07,34.17,0
6,0,0.16,0.05,5.87,0
7,0,0.05,0.01,0,0
9,0,0.06,0.09,36.71,0
10,0,0.09,0.06,0,0
11,0,0.1,0.09,4.76,0
12,0,0.08,0.13,33.43,0
13,0,0.03,0.05,0,0
15,0,0.09,0.05,20.75,0
16,0,0.06,0.06,27.39,0
17,0,0.1,0.1,0,0
18,0,0.09,0,29.35,0
19,0,0.06,0.05,13.46,0
21,0,0.09,0.02,0,0
22,0,0.14,0.08,36.53,0
23,0,0.11,0.12,0,0
24,0,0.11,0.09,0,0
25,0,0.1,0.04,33.63,0
27,0,0.07,0.08,0,0
28,0,0.08,0.11,22.47,0
29,0,0.08,0.07,21.12,0
30,0,0.08,0.06,0,0
32,0,0.1,0.06,29.84,0
33,0,0.08,0.08,20.34,0
